name,address
Timeless,"Улица Акмешит, 1 блок 4, Астана"
Gaststätte,"Проспект Женис, 2, Астана"
La Mia Piazza,"Проспект Туран, 22/1, Астана"
Park Baku,"Проспект Абая, 27, Астана"
Two Hands,"Проспект Туран, 22/1, Астана"
InstaCafe,"Улица Балкантау, 92, Астана"
Terrasa Comfort,"Гостиница Comfort Hotel Astana, улица Космонавтов, 60, Астана"
Тануки,"Проспект Мангилик Ел, 55а, Астана"
Dala,"Улица Жумекен Нажимеденов, 16Б, Астана"
Shate,"Проспект Мангилик Ел, 35а, Астана"
Грузин Кузин,"Улица Шарль де Голль, 1а, Астана"
Korean House,"Проспект Туран, 23, Астана"
Вечное Небо,"БЦ Moskva, улица Достык, 18, Астана"
Boulevard terrace,"Кабанбай батыр проспект, 58Б корпус 4, Астана"
Aula,"Улица Сарайшык, 8, Астана"
Granada,"Кабанбай батыр проспект, 49, Астана"
Мамашвили,"Улица Кенесары, 65, Астана"
Aiala Hogo,"Улица Сагадат Нурмагамбетов, 23, Астана"
Afsona,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
Wine Street,"Улица Туркестан, 18, Астана"
Sunduk,"Керей, Жанибек хандар улица, 14/2, Астана"
Incognita,"Кабанбай батыр проспект, 17, Астана"
Gaid,"Улица Касым Аманжолов, 28, Астана"
Panno,"Улица Достык, 13, Астана"
Chaihana NAVAT,"ТРЦ Asia park, Кабанбай батыр проспект, 21, Астана"
Code&Cocktails,"Проспект Улы Дала, 39, Астана"
Вечное Небо,"Улица Александр Бараев, 23, Астана"
Jent,"Керей, Жанибек хандар улица, 22, Астана"
Dio Grand Cafe,"Улица Сарайшык, 34в, Астана"
LaMaro,"Улица Достык, 1, Астана"
Roastbeef,"Кабанбай батыр проспект, 15/1, Астана"
Перчини,"Проспект Туран, 20, Астана"
Azhar,"Шоссе Коргалжын, 26, Астана"
ResPUBlika,"Улица Алматы, 11, Астана"
Казбек,"Улица Алихан Бокейхан, 6, Астана"
Інжу,"Улица Ахмета Жубанова, 26, Астана"
Creatti,"Проспект Мангилик Ел, 59, Астана"
Extaz,"Улица Наркескен, 1, Астана"
Daily Shisha,"Улица Алимхан Ермеков, 1/1, Астана"
Keshyou,"Улица Чингиз Айтматов, 40, Астана"
Dorffman,"Улица Шары Жиенкуловой, 7/6, Астана"
Emiliya,"Улица Сыганак, 60/1, Астана"
Terrace,"Кабанбай батыр проспект, 3, Астана"
Fest 425 mangilik,"Проспект Мангилик Ел, 20/2, Астана"
Green Kitchen,"Улица Сарайшык, 27/3, Астана"
FLAGMAN FESTIVAL,"Улица Достык, 4, Астана"
Гол+Пас,"Проспект Мангилик Ел, 17, Астана"
Fest 425 Dostyq,"Улица Достык, 10, Астана"
Aq Anyz,"Улица Динмухамед Конаев, 14г, Астана"
XO,"Проспект Ракымжан Кошкарбаев, 10, Астана"
Wyndham Garden Astana,"Улица Хусейн бен Талал, 25, Астана"
Rumi,"Проспект Улы Дала, 41в, Астана"
Piro,"Улица Сарайшык, 34/7, Астана"
People`s,"Улица Е 900, 2, Астана"
CrepeCafe,"Улица Динмухамед Конаев, 12/1, Астана"
Bootlegger,"Улица Жумекен Нажимеденов, 14, Астана"
Pizza City,"Проспект Ракымжан Кошкарбаев, 8, Астана"
Yakuza Pan Asian kitchen,"Улица Кайым Мухамедханов, 9, Астана"
SB Karaoke Bar,"Улица Е-489, 7, Астана"
Arzu,"Амангельды Иманова улица, 40/2, Астана"
MILLIONAIRE,"Проспект Мангилик Ел, 54, Астана"
Shatush,"Шоссе Коргалжын, 13, Астана"
Studio 38,"Улица Айша биби, 38, Астана"
Mandarin,"Улица Шамши Калдаяков, 3, Астана"
Marso,"Улица Сыганак, 17г, Астана"
Мятный Expo,"Проспект Мангилик Ел, 51, Астана"
Soprano,"Улица Сарайшык, 13, Астана"
Samgau,"Проспект Абылай хана, 13/1, Астана"
Del Papa,"Кабанбай батыр проспект, 34, Астана"
Дареджани,"Кабанбай батыр проспект, 34, Астана"
Turandot,"Керей, Жанибек хандар улица, 18, Астана"
Sandyq,"Улица Сарайшык, 34/3, Астана"
Наша дача,"Улица Динмухамед Конаев, 14п, Астана"
Tangiers lounge,"Улица Акмешит, 1 блок 7, Астана"
Oblako,"БЦ Астаналык, улица Динмухамед Конаев, 33, Астана"
На крыше,"Улица Кадыргали Жалайыри, 2, Астана"
Chaihana NAVAT,"Улица Достык, 13, Астана"
Mokki,"Улица Достык, 16, Астана"
Lou Lou,"Улица Достык, 13, Астана"
Selfie,"Улица Достык, 16, Астана"
Line Brew Reserve,"Улица Кадыргали Жалайыри, 4, Астана"
Chaihana NAVAT,"Проспект Мангилик Ел, 27, Астана"
Узбечка №1,"Улица Алихан Бокейхан, 10, Астана"
Boom Boom Room,"Проспект Мангилик Ел, 37, Астана"
А8,"Проспект Ракымжан Кошкарбаев, 1/1, Астана"
Ocean Basket,"Улица Сарайшык, 7, Астана"
Cafellini,"Улица Сарайшык, 34/6, Астана"
Mado,"Улица Динмухамед Конаев, 14, Астана"
Zina,"Улица Акыртас, 1/1, Астана"
Взлётный,"Кабанбай батыр проспект, 34, Астана"
Del Papa,"Проспект Республики, 10, Астана"
Marani,"Улица Сарайшык, 6, Астана"
CrepeCafe,"Проспект Мангилик Ел, 17, Астана"
Take Eat Easy,"Улица Ахмет Байтурсынулы, 3, Астана"
Pinta,"БЦ Moskva, улица Достык, 18, Астана"
AURA Verdant,"Улица Арай, 29а, Астана"
Timeless,"Улица Сарайшык, 6, Астана"
Okadzaki.kz,"Улица Динмухамед Конаев, 14Б, Астана"
Грузин Кузин,"Улица Динмухамед Конаев, 14, Астана"
Салтанат Сарайы,"Кабанбай батыр проспект, 3, Астана"
Урумчи хого,"Улица Динмухамед Конаев, 29, Астана"
Panda Lamian,"Проспект Мангилик Ел, 17, Астана"
La Bottega,"ТРЦ Керуен, улица Достык, 9, Астана"
Принцесса,"Улица Алихан Бокейхан, 8, Астана"
Хороший День,"Улица Шамши Калдаяков, 6, Астана"
Pinta,"Кабанбай батыр проспект, 19/1, Астана"
Мидийное место,"Улица Акмешит, 1 блок 7, Астана"
Мидийное место,"Улица Акмешит, 1 блок 7, Астана"
ЧайLa kitchen,"Улица Динмухамед Конаев, 14, Астана"
Угли,"Проспект Туран, 21а, Астана"
The kitchen,"ЖК Северное сияние, улица Достык, 5, Астана"
Өzen,"Улица Достык, 16, Астана"
Bao Sushi&Noodles Bar,"БЦ Moskva, улица Достык, 18, Астана"
Family chef,"Проспект Тауелсиздик, 34/2, Астана"
Pinta,"ЖК Северное сияние, улица Достык, 5, Астана"
Төр,"ЖК Хайвил Астана, блок А, улица Ахмет Байтурсынулы, 1, Астана"
Cafestar,"Улица Достык, 13, Астана"
Taiyo,"Улица Достык, 4, Астана"
Lапша Tokyo,"Проспект Ракымжан Кошкарбаев, 8, Астана"
Shashlyk Pub,"Улица Сарайшык, 11/1, Астана"
Loyo,"Улица Сарайшык, 4, Астана"
Shio Izakaya,"Улица Достык, 8, Астана"
Mary,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
Buddha-Bar Astana,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
SAZ Restaurant&Karaoke,"Улица Акмешит, 1 блок 6, Астана"
Бочонок,"Улица Достык, 13, Астана"
Turandot,"Улица Туркестан, 34, Астана"
Грузин Кузин,"Проспект Ракымжан Кошкарбаев, 8, Астана"
Pinta,"Улица Акмешит, 9/1, Астана"
Line Brew,"Улица Кенесары, 20, Астана"
Divan,"Улица Динмухамед Конаев, 14, Астана"
CrepeCafe,"Амангельды Иманова улица, 16, Астана"
Ribambelle,"Улица Достык, 16, Астана"
Гол+Пас,"Проспект Тауелсиздик, 23, Астана"
Turandot,"Улица Кайым Мухамедханов, 5, Астана"
Кишлак,"Кабанбай батыр проспект, 19/1, Астана"
SF,"Улица Сыганак, 54, Астана"
Atmosfera Music,"Кабанбай батыр проспект, 49, Астана"
Temple,"Улица Ахмет Байтурсынулы, 3, Астана"
The Monkey,"Улица Кайым Мухамедханов, 5, Астана"
Стумари,"Керей, Жанибек хандар улица, 18, Астана"
Rabiya,"Улица Ахмет Байтурсынулы, 5, Астана"
Shoreditch,"Кабанбай батыр проспект, 7, Астана"
Chaihana NAVAT,"Проспект Туран, 39а, Астана"
Мангал,"Улица Алихан Бокейхан, 6, Астана"
Lапша China town,"Улица Жумекен Нажимеденов, 4, Астана"
XS,"Улица Жекебатыр, 47, Астана"
De Paris,"Улица Кадыргали Жалайыри, 8, Астана"
Okadzaki.kz,"Проспект Мангилик Ел, 21, Астана"
Panda Lamian,"Улица Алексея Петрова, 15, Астана"
Line Brew,"Улица Кенесары, 20, Астана"
Ginza,"Проспект Туран, 15, Астана"
Урумчи Хого,"Улица Алихан Бокейхан, 6, Астана"
BlackBesh,"Дипломат, улица Динмухамед Конаев, 29/1, Астана"
Soul Kitchen,"Улица Ахмет Байтурсынулы, 9 блок F1, Астана"
Грузин Кузин,"Улица Алихан Бокейхан, 8, Астана"
Пивоварофф,"Проспект Туран, 31, Астана"
Mona,"Улица Кайым Мухамедханов, 1/1, Астана"
Мангал,"Проспект Бауыржан Момышулы, 2в, Астана"
Uchquduq,"Проспект Мангилик Ел, 52а, Астана"
Рыба Пила,"Проспект Туран, 22, Астана"
Metis,"Кабанбай батыр проспект, 5/3, Астана"
Грузин Кузин,"Кабанбай батыр проспект, 34, Астана"
Zeytuni,"Улица Ахмет Байтурсынулы, 9 блок F1, Астана"
Традициональ,"Проспект Туран, 33, Астана"
Garo,"Улица Достык, 16, Астана"
RANCH,"Улица Динмухамед Конаев, 14, Астана"
Bao Sushi&Noodles Bar,"Проспект Туран, 22/1, Астана"
Melly,"ТРЦ Asia park, Кабанбай батыр проспект, 21, Астана"
Kimchimama,"Улица Сарайшык, 36, Астана"
Cantinetta Antinori,"Улица Кадыргали Жалайыри, 4, Астана"
Local Pub,"Проспект Ракымжан Кошкарбаев, 10, Астана"
Долма,"Улица Алихан Бокейхан, 6, Астана"
Monte Bianco,"Улица Динмухамед Конаев, 14, Астана"
Tangiers lounge,"Микрорайон Самал, 11, Астана"
The Bus,"Шоссе Коргалжын, 3, Астана"
Пхали&Хинкали,"ТРЦ Керуен, улица Достык, 9, Астана"
Rubai,"Проспект Туран, 29, Астана"
Felicita,"Проспект Бауыржан Момышулы, 2/4, Астана"
Felicita,"Проспект Бауыржан Момышулы, 2/4, Астана"
Чир-chic,"Кабанбай батыр проспект, 13, Астана"
Salter`s,"Улица Сыганак, 60/1, Астана"
Chaihana NAVAT,"Улица Сарайшык, 34Б, Астана"
Грузин Кузин,"Кабанбай батыр проспект, 9/2, Астана"
Море море,"Улица Жумекен Нажимеденов, 4, Астана"
kuZina,"Кабанбай батыр проспект, 9/2, Астана"
Тануки,"Проспект Туран, 39а, Астана"
Qazaq Gourmet,"Проспект Мангилик Ел, 29, Астана"
Пивоварофф,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
Балкон,"Проспект Тауелсиздик, 33, Астана"
Di Wang,"Улица Кадыргали Жалайыри, 4, Астана"
Panda Lamian,"Улица Каныш Сатпаев, 22, Астана"
SF,"Улица Касым Аманжолов, 26, Астана"
Rabat House,"Улица Каныш Сатпаев, 13/2, Астана"
Kutaisi,"Проспект Бауыржан Момышулы, 13, Астана"
Once,"ТРЦ Сарыарка, проспект Туран, 24, Астана"
Грузин Кузин,"Улица Кайым Мухамедханов, 5, Астана"
SF,"Улица Кайым Мухамедханов, 19а, Астана"
Lion restaurant,"Улица Достык, 16п, Астана"
Melly,"Проспект Мангилик Ел, 19, Астана"
The Wine Cafe,"Кабанбай батыр проспект, 9/2, Астана"
SF,"Проспект Шакарим Кудайбердыулы, 19в, Астана"
Italio,"Улица Жумекен Нажимеденов, 4/1, Астана"
Time,"Проспект Бауыржан Момышулы, 2, Астана"
SF,"Улица Туркестан, 10, Астана"
LaMaro,"Проспект Туран, 22/1, Астана"
Marakanda,"Улица Шамши Калдаяков, 3, Астана"
Ми Ген,"Кабанбай батыр проспект, 2, Астана"
Саксаул,"ЖК Северное сияние, улица Достык, 5, Астана"
Nonna,"Проспект Ракымжан Кошкарбаев, 10, Астана"
Galleria,"ТРЦ Керуен, улица Достык, 9, Астана"
Marmelade,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
Baoli,"Улица Туркестан, 16, Астана"
Uchquduq,"ТРЦ Керуен, улица Достык, 9, Астана"
Mamma mia,"Проспект Туран, 20, Астана"
Великая Китайская стена,"Проспект Мангилик Ел, 17, Астана"
Sozvezdie,"Керей, Жанибек хандар улица, 22, Астана"
Salone del Gusto,"БЦ Q, Кабанбай батыр проспект, 15а, Астана"
SF,"Улица Жанибека тархана, 6Б, Астана"
Osteria Luce,"Улица Сарайшык, 5г, Астана"
Satti,"Проспект Мангилик Ел, 16, Астана"
Шишка Edition,"Улица Беимбет Майлин, 16/6, Астана"
Ranch Social,"Проспект Ракымжан Кошкарбаев, 10, Астана"
Шишка Premium,"Улица Бухар жырау, 28, Астана"
Tower pub,"Улица Беимбет Майлин, 8, Астана"
Black Duck,"Проспект Туран, 37/9, Астана"
Korean home food by Ellina Tyan,"Улица Достык, 4, Астана"
Fest 425,"Проспект Туран, 9, Астана"
Jumbaktas,"Улица Карасакал Еримбет, 65, Астана"
Dali,"Улица Достык, 1/2, Астана"
The View,"Улица Достык, 2, Астана"
Toy,"БЦ Time, улица Казанат, 1/1, Астана"
Sadu,"ТРЦ Керуен, улица Достык, 9, Астана"
Al Farabi,"Отель Риксос Президент, улица Динмухамед Конаев, 7, Астана"
Ahó,"Улица Акмешит, 1 блок 6, Астана"
Хачапури Тетушки Марико,"Проспект Ракымжан Кошкарбаев, 27, Астана"
Koreana BBQ,"Улица Кажымукан, 3, Астана"
Zvuk_Roofork,"БЦ Time, улица Казанат, 1/1, Астана"
Raki,"Улица Ахмет Байтурсынулы, 9 блок F2, Астана"
