name,address
Bloom Room Cafe,"Проспект Туран, 52, Астана"
SF,"Улица Кайым Мухамедханов, 19а, Астана"
The Moon,"Улица Акмешит, 1 блок 6, Астана"
Шашлыкоff,"Керей, Жанибек хандар улица, 12Б, Астана"
Timeless,"Улица Акмешит, 1 блок 4, Астана"
Бархат cafe & lounge,"Цирк, Кабанбай батыр проспект, 5, Астана"
Okadzaki.kz,"Улица Темирказык, 65, Астана"
Brewery,"Проспект Туран, 30, Астана"
TomYumBar,"Проспект Туран, 20, Астана"
Daididau,"Улица Динмухамед Конаев, 14, Астана"
Arnau,"Проспект Туран, 30, Астана"
