name,address
Timeless,"Улица Акмешит, 1 блок 4, Астана"
Шашлыкоff,"Керей, Жанибек хандар улица, 12Б, Астана"
The Moon,"Улица Акмешит, 1 блок 6, Астана"
Bloom Room Cafe,"Проспект Туран, 52, Астана"
Okadzaki.kz,"Проспект Абая, 59, Астана"
SF,"Улица Гейдара Алиева, 2, Астана"
Бархат cafe & lounge,"Цирк, Кабанбай батыр проспект, 5, Астана"
TomYumBar,"Проспект Туран, 20, Астана"
Brewery,"Проспект Туран, 30, Астана"
Daididau,"Улица Динмухамед Конаев, 14, Астана"
Arnau,"Проспект Туран, 30, Астана"
MeATADOR,"Проспект Туран, 60, Астана"
