name,address,category
East Astana Hotel,"Улица Мухтара Ауэзова, 12, Астана",Пожить
Botanic Garden Apartments,"Улица Туркестан, 14а, Астана",Пожить
COME INN HOTEL,"Улица Арганаты, 13, Астана",Пожить
Nomad,"Улица Куйши Дина, 25/1, Астана",Пожить
Highvill Apartaments,"Улица Ахмет Байтурсынулы, 5, Астана",Пожить
АҚ ЖОЛ,"Улица Беимбет Майлин, 16/12, Астана",Пожить
Wyndham Garden Astana,"Улица Хусейн бен Талал, 25, Астана",Пожить
Топаз,"Улица Алиби Жангельдин, 6/1, Астана",Пожить
Астана Плаза,"Проспект Женис, 27а, Астана",Пожить
AMINA,"Улица Шамши Калдаяков, 15, Астана",Пожить
FiveHotel,"Аль-Фараби проспект, 46, Астана",Пожить
Asyr Hotel,"Кабанбай батыр проспект, 53 блок D2, Астана",Пожить
Tumar Hansa,"Улица Казанат, 3, Астана",Пожить
Dami Hotel Astana,"Улица Турар Рыскулов, 5/1, Астана",Пожить
Zhan Villa,"Улица Балкантау, 124, Астана",Пожить
Altai Apartments,"Улица Караоткель, 58, Астана",Пожить
Нур,"Проспект Нургиса Тлендиева, 3/3, Астана",Пожить
Prime hostel,"Улица Сакена Сейфуллина, 8, Астана",Пожить
Dream Hostel,"Кабанбай батыр проспект, 16, Астана",Пожить
Estet Boutique Hotel,"Улица Кенесары, 28, Астана",Пожить
Jansaya,"Улица Чайка, 14, с. Жибек Жолы, Аршалынский район, Акмолинская область",Пожить
Флэтс,"Улица Малика Габдуллина, 17/1, Астана",Пожить
San Marino,"Улица Жумабека Ташенова, 17Б, Астана",Пожить
Теньговка Этно,"Шоссе Алаш, 140/2, Астана",Пожить
Корсар,"Проспект Бауыржан Момышулы, 13, Астана",Пожить
Sayajai,"Улица Улы дала, 34/2, Косшы, Косшы городская администрация, Акмолинская область",Пожить
Business Hotel,"Амангельды Иманова улица, 12, Астана",Пожить
Orman Park,"045-й учетный квартал, 165, Астана, Целиноградский район",Пожить
Family Hotel NS,"Улица Елубай Тайбеков, 39, Астана",Пожить
Friends Hostel,"Улица Шолпан Иманбаевой, 8, Астана",Пожить
Qazyna,"Улица Баганалы, 24, Астана",Пожить
Qazaq qonaq yi,"Улица Айша биби, 52, Астана",Пожить
Ай-Са,"Улица Ануара Алимжанова, 54, Астана",Пожить
Ali Apart,"Проспект Туран, 34а, Астана",Пожить
Шаттык,"Переулок Шаттык, 1/1, Астана",Пожить
