name,address,category
Small,"Кабанбай батыр проспект, 6/2, Астана",Продукты
Greenwich,"Улица Ахмет Байтурсынулы, 29а, Астана",Продукты
Molmart,"Улица Касым Аманжолов, 24, Астана",Продукты
iStop,"Улица Сыганак, 18/1, Астана",Продукты
Kele ber,"Улица Санжара Асфендиярова, 6, Астана",Продукты
K-market,"Проспект Республики, 25, Астана",Продукты
Apero,"Кабанбай батыр проспект, 40, Астана",Продукты
Astor,"Кабанбай батыр проспект, 64, Астана",Продукты
FermHouse,"Улица Ахмет Байтурсынулы, 37, Астана",Продукты
Fresh market,"Улица Шокан Уалиханов, 1, Астана",Продукты
optovoz.kz,"Улица Григория Потанина, 14в, Астана",Продукты
Volna,"Улица Темирбек Жургенов, 26, Астана",Продукты
Юнион,"Проспект Мангилик Ел, 59, Астана",Продукты
Eva,"Улица Илияс Есенберлин, 23/1, Астана",Продукты
Best Mart,"Улица Сыганак, 54, Астана",Продукты
Spar,"Улица Кенесары, 38, Астана",Продукты
My Mart,"Улица Орынбор, 12 Блок 1, Астана",Продукты
Bolmart,"Улица Исатай батыр, 30, Астана",Продукты
Жизньмарт,"Улица Динмухамед Конаев, 12/1, Астана",Продукты
Interfood,"Проспект Ракымжан Кошкарбаев, 8, Астана",Продукты
Ulytau family market,"Проспект Туран, 57/3, Астана",Продукты
Satti Mart,"Улица Е-36, 9, Астана",Продукты
Светофор,"Улица Чингиз Айтматов, 36, Астана",Продукты
Orda,"Улица Жумекен Нажимеденов, 37, Астана",Продукты
Expo market,"Керей, Жанибек хандар улица, 40, Астана",Продукты
Туран,"Проспект Туран, 41/1, Астана",Продукты
Magnum,"Проспект Туран, 55д, Астана",Продукты
Fix price,"Проспект Улы Дала, 55/2, Астана",Продукты
Magnum,"Хан Шатыр, проспект Туран, 37, Астана",Продукты
Small,"Улица Габит Мусрепов, 3, Астана",Продукты
Small,"Кабанбай батыр проспект, 49а, Астана",Продукты
Fix price,"Кабанбай батыр проспект, 6/2, Астана",Продукты
Fix price,"23-й проезд, 6/1, Астана",Продукты
Magnum Express,"Улица Кордай, 87, Астана",Продукты
Анвар,"Улица Алматы, 5, Астана",Продукты
Magnum,"Улица Едил, 26, Астана",Продукты
Magnum,"Микрорайон Самал, 11, Астана",Продукты
Small,"Проспект Абылай хана, 5, Астана",Продукты
Magnum,"Улица Шокан Уалиханов, 20, Астана",Продукты
Small,"Улица Чингиз Айтматов, 44, Астана",Продукты
Анвар,"Проспект Туран, 45, Астана",Продукты
Small,"Проспект Туран, 65, Астана",Продукты
Magnum Daily,"Проспект Бауыржан Момышулы, 14, Астана",Продукты
Mix,"Улица Туркестан, 18/1, Астана",Продукты
Magnum,"ТЦ Астана Молл, проспект Тауелсиздик, 34, Астана",Продукты
Olive mart,"Проспект Абая, 59, Астана",Продукты
Magnum Express,"Улица Сагадат Нурмагамбетов, 31, Астана",Продукты
Metro,"METRO, трасса Астана-Караганда, 4/1, Астана",Продукты
Наш маркет,"Проспект Туран, 39, Астана",Продукты
Magnum Express,"Улица Айтеке би, 11п, Астана",Продукты
Magnum,"ТЦ Green Mall, улица Сыганак, 17Б, Астана",Продукты
